Text,ActualLabel,IbmScore,IbmLabel,GCPScore,GCPLabel,AzureScore,AzureLabel,AWSLabel,AWSPosScore,AWSNegScore,AWSNeuScore
"Good day, ladies and gentlemen and welcome to the General Electric Fourth Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. My name is Brandon and I'll be your conference facilitator today. [Operator Instructions] As a reminder, this conference is being recorded.",neutral,0.871771,Positive,0.20000000298023224,Neutral,0.8124092817306519,Positive,Positive,0.8053913116455078,0.0013091247528791428,0.1804008036851883
"I would now like to turn the program over to your host for today's conference, Steve Winoker Vice President of Investor Communications. Please go ahead sir.",neutral,0.607113,Positive,0.0,Neutral,0.8237001895904541,Positive,Neutral,0.01942063681781292,0.026451878249645233,0.952021598815918
"In the spirit of providing you with all the information we have as soon as we have it, I'll speak to what I have found over the last 120 days. We were executing against the key priorities we laid out in June and again in October. Simply put deleveraging the balance sheet and strengthening our businesses starting with Power. Remember beyond Power, it's important to recognize the underlying strengths in our businesses where the story is about enhancing our competitive advantage and delivering for customers and shareholders.",neutral,0.572983,Positive,0.4000000059604645,Positive,0.7623077630996704,Positive,Positive,0.784589946269989,0.0015721546951681376,0.2103654444217682
"Well, Jeff what I was referring to there was that, it's really the statutory calculation not the GAAP that drives the statutory funding needs. We are right in the middle of that process. We continue to expect to contribute about $2 billion to the insurance entities in 2019. We'll conclude that process over the next three to four weeks. But at this point that is what we expect.",neutral,0.547195,Positive,0.0,Neutral,0.5,Neutral,Negative,0.004668481182307005,0.5593406558036804,0.39676544070243835
Sorry about that Jeff.,neutral,-0.908608,Negative,0.0,Neutral,0.033333450555801385,Negative,Neutral,0.014803774654865265,0.20007161796092987,0.7758658528327942
Thanks.,neutral,,Neutral,0.10000000149011612,Neutral,0.987318217754364,Positive,Positive,0.8071844577789307,0.019394950941205025,0.16381876170635223
"From Barclays, we have Julian Mitchell.",neutral,0.662311,Positive,0.0,Neutral,0.5,Neutral,Neutral,0.05664430558681488,0.03010091930627823,0.9099717140197754
"Morning. Maybe as the first question on Power. I understand, you're reticent to give too much forward-looking color but perhaps give us a sense of, if you look at the reported 2018 numbers EBIT loss of $800 million free cash of minus $2.7 billion. How would you look at the or characterize to us the underlying figures for both of those two items, if you strip out charges and projects execution overruns and so on? And maybe also on that point, if you could give any color as to the separation of gas and non-gas within Power? What sort of financial conditions that separation has uncovered in each of the two pieces?",neutral,-0.552928,Negative,0.0,Neutral,0.5,Neutral,Neutral,0.0051019755192101,0.1672506481409073,0.7966609001159668
"Sure, sure. Let me do that and again this is very much a work in progress with a new team establishing new operating rhythms. But I would say that if we start on the service side of things, right? We've got a $62 billion backlog. We did take the charge in the fourth quarter $400 million on about a $3.7 billion contract asset book and we think that's appropriate just given what we see in the marketplace. I think we're encouraged though relative to the execution around pricing here. We have changed the way the folks in the field are compensated.",positive,0.831823,Positive,0.30000001192092896,Positive,0.5,Neutral,Neutral,0.15204986929893494,0.05413742735981941,0.761923611164093
"Transitioning them, if you will from volume to margin. But again, there's a good bit of productivity post Alstom that we still need to get from the combined organizations here and that work is incomplete. But that's part of that operating loss that you see here at year's end. We are clearly dealing with lower demand in equipment, encouraged by some of the share points in the US market here in the back half. But again, we want to make sure we focused on profitable share. There we took $350 million of charges around the project book and we know that we have a lot of execution here to improve just in the way these projects are brought online.",neutral,0.362159,Positive,0.10000000149011612,Neutral,0.7533400654792786,Positive,Neutral,0.1474483162164688,0.10641435533761978,0.4980381429195404
"I think when you look at the vintages, we're encouraged by the progress that we see post the '16 underwriting class in terms of our margins on those projects. But that's very much a work in progress. I think with respect to the change in the structure of Power, again part of it is a cost reduction. We shared some of that in the prepared remarks but we also are getting better visibility on the underlying businesses P&L-by-P&L. So we talk about gas, we're combining services and equipment then we have the rest of our Power portfolio.",positive,0.842082,Positive,0.5,Positive,0.7171832323074341,Positive,Neutral,0.18111535906791687,0.022055966779589653,0.756991982460022
"As Jamie mentioned, we now take on all the cost for grid now that we own all of it that doesn't help us at all. But now we've got better line of sight on the discreet P&L's grid, Steam, Power Conversion and Nuclear all four of those businesses have meaningful profit improvement potential and we're going to manage them from the bottoms up accordingly. So clearly, we're at a break even from our P&L perspective absence some other charges, a lot of work to do here and as we have better visibility and more conviction around those improvements, we'll be back and we'll be back here soon with respect to how that plays out in '19 and '20.",neutral,0.667564,Positive,0.10000000149011612,Neutral,0.8926946520805359,Positive,Positive,0.33521607518196106,0.25767388939857483,0.1783124804496765
"The other color I would just add there on negative free cash flow is as volume comes down in the factories and as our projects continue to work their way through, you see volume leveling but we've been in a declining frame here. So what's really flowing through on cash in addition to some of the other items Larry mentioned is a burn down of our progress billings and a burn down of our project payables. Situations where we receive projects in advance of constructing new equipment or where we received progress on projects and now we're in the phase of the project, where the payables and the costs are starting to come through. So that's also pressuring the Power of free cash flow. And as that levels that also starts to level.",neutral,0.447535,Positive,0.0,Neutral,0.7104167342185974,Positive,Neutral,0.09014113992452621,0.3117474913597107,0.510089635848999
"With respect to delevering, we've taken the following actions: We've reduced the quarterly dividend retaining $4 billion per year; accelerated the sale of a portion of our BHGE ownership stake raising $3.7 billion; and changed the structure of our transaction with Wabtec enabling us to retain an incremental $2 billion stake. We're demonstrating our seriousness and the flexibility with respect to our decisions to recut the BHGE and Wabtec deals in particular. We closed Distributed Power for $2.8 billion of net cash in the quarter.",neutral,0.9019799999999999,Positive,0.20000000298023224,Neutral,0.5,Neutral,Neutral,0.08108961582183838,0.0005225890199653804,0.9166315793991089
"Thanks. And then my second question may be about a business, where there's better medium term visibility Aviation. You talked about the LEAP operating margin headwind last year. How do you see that moving in 2019 relative to that 160 bps? And then looking out beyond just this year anything on the horizon in terms of let's say 777X transition or NMA that you think could cause a major risk to the aviation free cash flow in margin profile?",neutral,0.6039979999999999,Positive,0.0,Neutral,0.5,Neutral,Neutral,0.23985140025615692,0.10994797945022583,0.5205283164978027
"With respect to Aviation's merger and mix you saw strong fourth quarter and when we look at the remixing that's happening between CFM and LEAP significant increase in LEAP shipments in the quarter up 88% over the prior year. Year-over-year 2.4x up and you're seeing CFM come down meaningfully over those same periods. Next year, CFM will come down again about I'd say more than 50% of CFM deliveries will be reduced next year but the LEAP also ramps from the 1,118 we had this year up to 1,800-plus. So that remixing continues to occur. We mentioned on the call that it was a drag in 2018 of 160 basis points. We do expect continued some small drag next year but again Aviation's doing a really nice job offsetting that with services growth. They're shifting in military and the company-funded R&D.",positive,0.32543099999999997,Positive,0.0,Neutral,0.5,Neutral,Positive,0.5030323266983032,0.01651442050933838,0.4197361469268799
"We're clearly in conversations with our major airframe customers about new platforms. I think at this point, it would be premature to suggest that we're going to have a cash flow headwind a material cash flow headwind around any of those programs here in '19.",neutral,0.615915,Positive,-0.10000000149011612,Neutral,0.5,Neutral,Neutral,0.077046699821949,0.12947167456150055,0.7697762846946716
"From Melius Research, we have Scott Davis. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,0.5,Neutral,Neutral,0.044438883662223816,0.007484989240765572,0.9456735849380493
"Hey. Good morning, guys.",neutral,0.817036,Positive,0.4000000059604645,Positive,0.9935750365257264,Positive,Neutral,0.3656190037727356,0.014849232509732246,0.6080657839775085
"Good morning, Scott.",neutral,0.765335,Positive,0.20000000298023224,Neutral,0.9977414608001708,Positive,Positive,0.7159997820854187,0.01412296574562788,0.2411603480577469
"And Larry I don't buy that you're going to have a prom date. That's nonsense. Even I had a prom date. I was bald at birth. All kidding aside, the one number you gave that was new, which was kind of eye-popping to me, it was just $1.6 billion Power headquarter number. Can you put some context around that? It seems just like such a insane number. But I don't know really what you're including in that I guess as far as talking about headquarter?",negative,-0.46025900000000003,Negative,0.0,Neutral,0.5,Neutral,Negative,0.0026081411633640528,0.9134793877601624,0.06697069108486176
"Well, there's -- it's a large number and again, I think we've got line of sight here in the near terms Scott to bring that down by about 300. And effectively, as you know, we've done a lot horizontally both at corporate and at the segment levels over time for the businesses. So it's not as if it's unhelpful or wasteful but there clearly is an adjustment we can take here as we move those activities into the businesses and I think over time as the businesses have true ownership for them that they are in their operating budgets as opposed to an allocation from corporate. They're likely to find opportunities for further savings. But we don't do it primarily for the cost reduction. I think we really do it to help drive visibility and accountability P&L-by-P&L. I think I've shared with some folks that early on in my tenure we would talk about Power as if it was one business. It's obviously a number of businesses. Some better than others, different issues here and there. I think we've got better visibility on those issues. It's not perfect today but as we get that visibility I think better position to take meaningful action to drive better results across that portfolio.",neutral,0.454237,Positive,0.20000000298023224,Neutral,0.8629053831100464,Positive,Negative,0.1396862268447876,0.3903888165950775,0.3263181746006012
"That make sense. And then the other thing is just not totally clear is, if the New World is 25 gigawatts to 30 gigawatts, which arguably a lot of people can say the New World is 25 or even a little lower but how do you get your capacity down anywhere close to that? I mean you've got big factories, lots of capital equipment, lot of pressure from governments and unions and everybody else. Is it realistic to be able to get that down in the next two years? it's something that's closer to 30?",neutral,0.306029,Positive,0.10000000149011612,Neutral,0.5,Neutral,Neutral,0.18684707581996918,0.03625522181391716,0.7069607377052307
"Well, I think it is realistic, right? There are going to be a number of competing priorities and pressures but we took $1 billion of cost out last year. I think we are putting the -- we're putting up the parameters of a program to build on what we did last year. So Scott, we have to do this. We absolutely have to do this. I think we know, it's a multiyear effort but the challenge here around margins is not simply one of capacity. Right back to the earlier question around pricing. Productivity both in new equipment and in the field on services. It's a whole host of things that I think give us the optimism that we can drive better margin and cash performance in this business. But we have to prove that to you.",neutral,0.781831,Positive,0.20000000298023224,Neutral,0.5,Neutral,Neutral,0.2838723957538605,0.17552372813224792,0.3696397840976715
"For the year, we signed or completed substantially all of our $20 billion industrial asset sale plan, which had targeted roughly $10 billion in proceeds. We also announced the sale of ServiceMax in the fourth quarter. We completed $8 billion of capital asset sales and other actions in the quarter bringing our total for the year to $15 billion, which were executed at book value or better. We're more than halfway through the total of $25 billion capital asset sale program, which we expect to complete this year.",neutral,0.602805,Positive,0.0,Neutral,0.5,Neutral,Neutral,0.11121430993080139,0.01366619672626257,0.8672138452529907
"And from Citi, we have Andrew Kaplowitz. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,0.5,Neutral,Neutral,0.07055173069238663,0.0455966554582119,0.8779609799385071
"Hey. Good morning, guys. Larry, one of the biggest issues I think that investors have had when GE is the concern that legacy liabilities will continue to surprise the company. The FIRREA agreement with the DOJ seems like a positive development in that regard, so does is the relatively small LTC adjustment. But at this point, do you feel reasonably confident that you've identified all the skeletons in the closet in a level of negative surprises are really going to start dropping moving forward?",neutral,0.469988,Positive,0.30000001192092896,Positive,0.8138052225112915,Positive,Mixed,0.3484165370464325,0.09828605502843857,0.04555947333574295
"I don't think I would ever say, even on my last day here that we have found all the skeletons, right? I don't tend to take absolute positions. But that said I think you're spot on. The news today around WMC is good both with respect to a resolution and the fact that we came in right where we were reserved. So we can begin to move that episode behind us. I think we're encouraged by the results that Jamie walked you through relative to the LRT.",positive,0.534013,Positive,0.20000000298023224,Neutral,0.5,Neutral,Positive,0.8481355905532837,0.0013255183584988117,0.12880930304527283
"But again, the cash requirements really come from the stat and not the GAAP test and that will still has a few more weeks to run. But in the absence of no new news again with a lot of fresh eyes and it's not my fresh eyes we've got a new GC, we've got a new controller new to GE in their first years. I think that is a positive sign that we aren't adding to the list. We're going to be as open and transparent as we possibly can, when we find things. And we're going to help you understand what we're doing to address them but I'm encouraged by what I see and what has not arisen here in nearly four months time.",positive,0.42668999999999996,Positive,0.0,Neutral,0.918514847755432,Positive,Negative,0.02612197771668434,0.746124804019928,0.14286500215530396
"And Larry, you're pretty clear about having no plans to sell GECAS. It sounds quite definitive but obviously there's a lot of noise out there. So maybe I could step back and ask you how you weigh the urgency to get GE Capital debt down versus keeping the strong earnings stream in tact from GECAS that you have in the business?",neutral,0.547362,Positive,0.0,Neutral,0.5,Neutral,Positive,0.49240028858184814,0.04347095638513565,0.374222993850708
"Well, I think that we're -- we're frankly keen not to comment on every rumor on every innuendo that's out there. GECAS is one business that we get inbounds on with some frequency. But frankly. We get inbounds on everything but my desk. I think it speaks to the quality of the assets. Again, I think we can delever and bring that net debt down from $55 billion to something closer to $25 billion. We've got a number of options. We are mindful of the trades when we move assets out and the impact on our earnings and cash capability. But again, you elevate to the strategic level, I think we are clear. We need to delever and we're going to work the plan that we've outlined here today and that's really is I think as simple and as straightforward as it gets.",positive,0.633225,Positive,0.30000001192092896,Positive,,Neutral,Positive,0.7856483459472656,0.017828188836574554,0.13646173477172852
"From Bank of America Merrill Lynch, we have Andrew Obin. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,,Neutral,Neutral,0.012786620296537876,0.03536754474043846,0.9485219717025757
"Hi, good morning. Just a question. You mentioned that you took $400 million of contract asset writedown in Power. And my understanding is that sort of culturally is a big deal. Shall we see more of these writedowns? How far along are we in the process of evaluating the book there?",neutral,0.812505,Positive,0.20000000298023224,Neutral,,Neutral,Neutral,0.2929600179195404,0.02376674674451351,0.6350365281105042
"We asked our new controller, when he started to take a clean look at everything across the company. And they -- as they went through their normal standards CSA reviewed this quarter did pay particular attention to higher risk contracts, just to make sure that we were thinking about them cleanly and the right way. What we talked about on the call, which was really comprised of three different buckets were the results of that review.",neutral,0.532175,Positive,0.0,Neutral,,Neutral,Neutral,0.12889093160629272,0.20315152406692505,0.601789653301239
"So as we mentioned before, we had adjustments for utilization, some on pricing pressure and then just our standard cost updates. On the utilization side, when you look at the CSA book, utilization has been relatively flat and it's demonstrating actually a fairly healthy profile. And I think it just continues to support the base that gas continues to be an important source of energy generation. Now some geographies are impacted more by some of the renewables adoptions. And as you look at our book, our concentration of geographies isn't largely in those areas but we did see some true-ups that we took in places like California and Turkey just to make sure we were reflecting our best view on that.",neutral,0.8806780000000001,Positive,0.30000001192092896,Positive,,Neutral,Neutral,0.31243517994880676,0.010339579544961452,0.6625435948371887
"Today, we have announced that we've reached an agreement in principle with the United States Department of Justice to settle the FIRREA investigation of WMC. GE will pay the United States a civil penalty of $1.5 billion consistent with our reserve recorded for this matter in the first quarter of last year. We've taken the following actions to strengthen our businesses.",neutral,0.36280300000000004,Positive,0.10000000149011612,Neutral,,Neutral,Neutral,0.02008827216923237,0.010450944304466248,0.9641810059547424
"On the pricing pressure, we are seeing that in some contracts. These are high margin long term contracts. And when we do go through renegotiation process on some of these, we are often able to offset that pricing with scope expansion and cost productivity. Having said that we wanted to make sure we had a realistic view of how we saw the portfolio, when we went through these reviews. We always do standard cost updating in our portfolio, that's just like you do in manufacturing. Those standard cost roll through this quarter as well. And part of that also reflected a small impact from the stage one blade issue but that's something that we had expected would happen, there as well.",neutral,0.914436,Positive,0.10000000149011612,Neutral,,Neutral,Neutral,0.07635659724473953,0.03452177718281746,0.8678579330444336
"Got you. And just on GE Capital. How much incremental capital? You said $4 billion in '19 but how much incremental, do you need to put in 2020 to achieve your leverage targets? Thank you.",neutral,0.879703,Positive,0.0,Neutral,,Neutral,Neutral,0.033817123621702194,0.0013021345948800445,0.9631691575050354
"Yeah. So Andrew at this point, we're talking about 2019, which is the $4 billion. And as we said as we get beyond 2019, we obviously understand. We will continue to put capital or expect to continue to put capital into the insurance subsidiaries. That will be funded through a combination of GE Capital earnings asset sales liquidity and GE parents support but at this point, we're not prepared to talk more fully about that.",neutral,0.670551,Positive,0.0,Neutral,,Neutral,Neutral,0.029366066679358482,0.04058491438627243,0.9110775589942932
"From Deutsche Bank, we have Nicole DeBlase. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,,Neutral,Neutral,0.01854901760816574,0.024072153493762016,0.9542948007583618
"So, good morning. So I just want to start on Power kind of a two part question. You reduced headcount by 15%, you reduced footprint by 30%. I know that pricing is an important part of the equation of getting back to profitability here but I guess maybe what inning are you in with respect to what you need to do to get to the right level of capacity utilization? And then same topic different question. What exactly are you doing to improve Power execution since that keeps coming up as a driver of weaker profitability and when might we stop talking about that piece of the margin headwinds?",neutral,0.462471,Positive,0.10000000149011612,Neutral,,Neutral,Neutral,0.07266345620155334,0.05584615468978882,0.8353092074394226
"Well, Nicole I would say, we are in the very early innings relative to the turnaround at Power. I don't know, how else to frame it. Again, a new team, a new structure, new operating rhythms. When we talk about execution, we talk about daily management. What I'm really referring to is making sure that every day the folks in the field, the folks in the factories, the folks in the labs understand what the key operating metrics are that they are responsible for that feed into better margins both at the growth in the operating level in this business. So that takes time because it's not just a reporting exercise, right? It's a management exercise and making sure they not understand not only how they're being measured but how to go about actually getting better price, how to go about actually driving better material productivity. Execution in the field as well. Not only around cost but frankly more importantly around quality making sure we get into outages quickly and we solve issues for customers the first time and when we're not going back. Those are the source of things. And it is a big organization. It's a global organization. This is going to take a little while. But I'm optimistic that we'll see it in our operating metrics over time and that will in turn translate into better performance. We'll clearly get some lift sooner from the absence of the adjustments that we made at the end of the year but what I'm really focused on and what I think investors are to be focused on, are those underlying operating improvements.",positive,0.46154300000000004,Positive,0.10000000149011612,Neutral,,Neutral,Neutral,0.3526400923728943,0.10848549008369446,0.39625364542007446
"Okay, got it. That's helpful. Thanks, Larry. And just a really quick one to tie up. Good progress on corporate expense reduction this quarter. Would you say that the corporate expense that we saw in 4Q is indicative of the run rate for 2019? Or are there items there that we need to consider?",positive,0.78072,Positive,0.30000001192092896,Positive,,Neutral,Positive,0.4169410467147827,0.05463607609272003,0.4058046042919159
I'd say it's roughly indicative. I think it'll be down slightly from that. It was a little bit higher in the quarter due to some onetime expenses we had but it's close. Little bit down from that in 2019.,neutral,-0.5467569999999999,Negative,0.0,Neutral,,Neutral,Neutral,0.03134109452366829,0.021966401487588882,0.9144564270973206
"From RBC Capital Markets, we have Deane Dray. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,,Neutral,Neutral,0.036638293415308,0.018751678988337517,0.9408048391342163
"Thank you. Good morning, everyone.",neutral,0.926523,Positive,0.4000000059604645,Positive,,Neutral,Positive,0.9301491975784302,0.0027853159699589014,0.06445001065731049
"In 2018, our corporate headquarters cost was $1.2 billion down $400 million from $1.6 billion in 2017. We have begun transferring a significant portion of headcount and activities that were previously managed at corporate to the segments or to third parties with over 6,500 full-time employees transferred to-date. We're confident that as we move more activity and headcount closer to those that are directly accountable, we will see additional savings.",positive,0.528196,Positive,0.20000000298023224,Neutral,,Neutral,Neutral,0.04396544024348259,0.10930080711841583,0.8352286219596863
"Hey, Dean. Good morning.",neutral,0.9033209999999999,Positive,0.4000000059604645,Positive,,Neutral,Neutral,0.40297287702560425,0.014375722035765648,0.5740519762039185
I'd also like to add our welcome to Steve Winoker and wish him all the best.,positive,0.9127270000000001,Positive,0.8999999761581421,Positive,,Neutral,Positive,0.6303671598434448,0.016919037327170372,0.33606284856796265
"Thanks, Dean.",positive,,Neutral,0.0,Neutral,,Neutral,Positive,0.6805088520050049,0.032512832432985306,0.2771642506122589
"Looks like I have to burn one of my questions, what's more of a housekeeping question Larry is in the third quarter earnings you talked about plans for an Analyst meeting in early 2019. Looks like, there's still a lot of more specifics that have to get filled in in terms of guidance and especially on the cash flow side. Maybe you're not ready yet to host that meeting. But just where does that stand and what would the timing be?",neutral,0.412973,Positive,0.0,Neutral,,Neutral,Negative,0.0327279269695282,0.5345658659934998,0.3720122277736664
"Well, Dean again, I think we're sharing today what we can in terms of not only the fourth quarter but the actions that are under way and how we see 2019 shaping up. We know we're not answering every question that folks might have on their minds today. But we're not going to answer any question without a grounding and a level of conviction that we expect of ourselves and I think folks like yourselves and investors expect of us as well but we are indicating that we'll be back soon with more particularly as we work through some of the issues, we've talked about not only in our prepared remarks but also here in Q&A with respect to Power.",neutral,0.36101300000000003,Positive,-0.10000000149011612,Neutral,,Neutral,Neutral,0.0300078596919775,0.011642836034297943,0.9460852742195129
"Okay. And Larry, I appreciate how you started off the call with all the changes in terms of the management approach and the accountability and voice of the customer. I mean that's --that was all good color to hear upfront. And then my second question is on the insurance side. We've got good news, what I see is good news on the loss recognition certainly not a new surprise. How does that change? In the third quarter, there was lots of calls for how to ring fence the long term insurance risk and where that might be. Where does that stand today in terms of priorities?",neutral,0.7357090000000001,Positive,0.10000000149011612,Neutral,,Neutral,Neutral,0.2830009460449219,0.08940688520669937,0.46340078115463257
"Well, Dean, again I want to make sure everybody understands that the LRT results here are a positive data point. I think that the stat test is going to be more important and I think we don't expect any major surprises but we'll have those results to share with you in a few weeks. This is a long term liability right? And we have our commitments with respect to the permitted practice. We're in a position to fulfill those. We certainly get inbounds here as well from folks, who'd like to take this book off of our hands. But not necessarily in a structure and at a value that would make sense for the GE shareholder. So I suspect that as we enhance our disclosures, they'll be better understanding of what this is.",positive,0.59408,Positive,0.20000000298023224,Neutral,,Neutral,Neutral,0.11780798435211182,0.17157018184661865,0.5780612230300903
"Certainly I suspect there will still be some debate. But I'm optimistic that the transparency will lead to better understanding and we can talk about this in a fact-based way. People can understand what that means. Is it with us forever? Or is there a way to ring fence it is to use your word again, I'm not going to rule anything out. But I think right now, what we're trying to do is to make sure that everyone understands, what it is and what our obligations are around the insurance book. So hopefully, some helpful disclosures in that regard today with more to come in the K once we're on the other side of the stat test.",positive,0.572721,Positive,0.20000000298023224,Neutral,,Neutral,Neutral,0.13886457681655884,0.028833044692873955,0.7927959561347961
"And from Gordon Haskett, we have John Inch. Please go ahead.",neutral,0.47644,Positive,0.0,Neutral,,Neutral,Neutral,0.02090795524418354,0.00756889209151268,0.9701199531555176
"Good morning, everybody. Good morning, Larry.",neutral,0.839567,Positive,0.699999988079071,Positive,,Neutral,Positive,0.8011865019798279,0.009443836286664009,0.1603945940732956
"Good examples include the recently announced agreement with Genpact around our global operations activities and the delayering and reorganization of our Global Growth Organization. Our changes in Power followed a similar approach. We have $1.6 billion of cost at Power headquarters and expect to produce that amount by $300 million for headquarter's overhead functions. And as we distribute the remaining cost to the business units, we expect that they will find additional savings over time.",positive,0.772275,Positive,0.30000001192092896,Positive,,Neutral,Positive,0.6917735934257507,3.334263965371065e-05,0.30704835057258606
"Hey, John. Good morning.",neutral,0.9033209999999999,Positive,0.30000001192092896,Positive,,Neutral,Positive,0.5018407702445984,0.010217740200459957,0.47929927706718445
"Hi, Steve.",neutral,,Neutral,0.0,Neutral,,Neutral,Neutral,0.046160727739334106,0.027621403336524963,0.9225665330886841
"Good morning, John.",neutral,0.701137,Positive,0.30000001192092896,Positive,,Neutral,Positive,0.8221235275268555,0.0057711536064744,0.1609620898962021
"Good morning, Steve. Just on the capital guide. I may have missed this Jamie and Larry but what is capital guide for 2019? What are you expecting? And what kind of, are we expecting from say gains from the $10 billion of asset sales? So it's almost like, what's the guide ex the $10 billion on earnings? And also Jamie, what was Healthcare's free cash flow in 2018?",neutral,0.375687,Positive,0.0,Neutral,,Neutral,Neutral,0.15986749529838562,0.006524696480482817,0.8077405095100403
