id,name,area,address,phone,food,pricerange,type
269,Chocho’s,centre,1815 Massachusetts Ave,unknown,korean,moderate,restaurant
68,One Ramen & Sushi,centre,1759 Massachusetts Ave,unknown,japanese,moderate,restaurant
235,Hot Eastern,centre,42 Beach St,unknown,chinese,moderate,restaurant
286,&pizza,north,Opened 2 months ago,(202) 839-8576,modern american,moderate,restaurant
85,Fuku Boston Seaport,east,43 Northern Ave,(617) 221-5102,north american,moderate,restaurant
158,75 Chestnut,centre,75 Chestnut St,(617) 227-2175,modern american,moderate,restaurant
174,Grotto,centre,37 Bowdoin St,(617) 227-3434,italian,moderate,restaurant
185,Boston Sail Loft,north,80 Atlantic Ave,(617) 227-7280,north american,moderate,restaurant
191,Parish Cafe and Bar,centre,361 Boylston St,(617) 247-4777,bistro,expensive,restaurant
56,Bricco,north,241 Hanover St,(617) 248-6800,italian,moderate,restaurant
139,Bricco,north,241 Hanover St,(617) 248-6800,italian,moderate,restaurant
84,Saus,centre,33 Union St,(617) 248-8835,north american,expensive,restaurant
163,Saus,centre,33 Union St,(617) 248-8835,north american,moderate,restaurant
300,Fuji At Kendall,east,300 3rd St,(617) 252-0088,japanese,cheap,restaurant
202,Punjab Palace,west,109 Brighton Ave,(617) 254-1500,indian,moderate,restaurant
20,The Smoke Shop BBQ - Seaport,east,343 Congress St,(617) 261-7427,modern american,moderate,restaurant
157,Pho Basil,centre,177 Massachusetts Ave,(617) 262-5377,vietnamese,cheap,restaurant
175,The Capital Grille,centre,900 Boylston St,(617) 262-8900,steakhouse,moderate,restaurant
81,Barcelona Wine Bar South End,south,525 Tremont St,(617) 266-2600,spanish,moderate,restaurant
114,Barcelona Wine Bar South End,south,525 Tremont St,(617) 266-2600,spanish,moderate,restaurant
155,Yvonne’s,centre,2 Winter Pl,(617) 267-0047,modern american,cheap,restaurant
108,Saltie Girl,centre,281 Dartmouth St,(617) 267-0691,seafood,moderate,restaurant
122,Atlantic Fish Co,centre,761 Boylston St,(617) 267-4000,seafood,moderate,restaurant
100,L Street Diner & Pizzeria,south,108 L St,(617) 268-1155,north american,moderate,restaurant
80,Seapoint Restaurant,south,367 E 8th St,(617) 268-1476,north american,moderate,restaurant
65,Ethel and Andy’s Sandwich Shop,south,134 K St,(617) 268-3027,bistro,cheap,restaurant
63,Sullivan’s,south,2080 Day Blvd,(617) 268-5685,north american,expensive,restaurant
43,Mul’s Diner,south,75 W Broadway,(617) 268-5748,north american,moderate,restaurant
62,The Junction,south,110 Dorchester St,(617) 268-6429,north american,expensive,restaurant
31,Alfredo’s Italian Kitchen - South Boston,south,243 Dorchester St,(617) 268-8939,italian,cheap,restaurant
91,Lithuanian Kitchen,south,368 W Broadway,(617) 268-9058,modern european,moderate,restaurant
25,Cafe Polonia,south,611 Dorchester Ave,(617) 269-0110,polish,moderate,restaurant
94,Rondo’s Sub Shop,south,134 W Broadway,(617) 269-0274,bistro,expensive,restaurant
67,Local 149,south,149 P St,(617) 269-0900,north american,moderate,restaurant
52,American Provisions,south,613 E Broadway,(617) 269-6100,north american,expensive,restaurant
49,Cafe Porto Bello,south,672 E Broadway,(617) 269-7680,italian,moderate,restaurant
92,Doughboy Donuts & Deli,south,220 Dorchester Ave,(617) 269-8741,north american,moderate,restaurant
93,Shenannigans Bar,south,332 W Broadway,(617) 269-9509,north american,moderate,restaurant
21,Mirisola’s,south,200 L St,(617) 269-9701,italian,cheap,restaurant
198,CAVA,centre,1346 Boylston St,(617) 286-8872,mediterranean,expensive,restaurant
200,CAVA,centre,669 Boylston St,(617) 286-8927,mediterranean,moderate,restaurant
59,Tuscan Kitchen,east,64 Seaport Blvd,(617) 303-7300,italian,moderate,restaurant
276,Café du Pays,centre,Large Party Booking,(617) 314-7297,french,moderate,restaurant
39,Legal Test Kitchen,east,225 Northern Ave,(617) 330-7430,modern american,moderate,restaurant
38,Flour Bakery + Café,east,12 Farnsworth St,(617) 338-4333,north american,expensive,restaurant
160,Jm Curley,centre,21 Temple Pl,(617) 338-5333,modern american,moderate,restaurant
86,No Name Restaurant,east,15 Fish Pier St E,(617) 338-7539,seafood,expensive,restaurant
182,Kaze Shabu Shabu,centre,1 Harrison Ave,(617) 338-8283,japanese,moderate,restaurant
45,Blue Dragon,east,324 A St,(617) 338-8585,panasian,moderate,restaurant
54,Hei La Moon,centre,88 Beach St,(617) 338-8813,chinese,moderate,restaurant
58,"Pastoral - Artisan Pizza, Kitchen & Bar",east,345 Congress St,(617) 345-0005,italian,moderate,restaurant
79,Strega Waterfront,east,56 Northern Ave On GPS,(617) 345-3992,italian,moderate,restaurant
5,Yankee Lobster,east,300 Northern Ave,(617) 345-9799,seafood,moderate,restaurant
127,Yankee Lobster,east,300 Northern Ave,(617) 345-9799,seafood,moderate,restaurant
219,The Boathouse,north,49 Mt Auburn St,(617) 349-1650,modern american,moderate,restaurant
247,Muqueca Restaurant,centre,1008 Cambridge St,(617) 354-3296,latin american,moderate,restaurant
232,Mae Asian Eatery,centre,781 Main St,(617) 354-3388,modern american,cheap,restaurant
210,Toscano,north,52 Brattle St,(617) 354-5250,italian,moderate,restaurant
271,Life Alive,centre,765 Mass Ave,(617) 354-5433,vegetarian,moderate,restaurant
228,Orinoco,north,56 John F Kennedy St,(617) 354-6900,latin american,moderate,restaurant
291,Rangzen Tibetan Place,centre,24 Pearl St,(617) 354-8881,asian oriental,moderate,restaurant
187,KAVA neo-taverna,south,315 Shawmut Ave,(617) 356-1100,greek,moderate,restaurant
82,Lucky’s Lounge,east,355 Congress St,(617) 357-5825,bistro,cheap,restaurant
42,Pomodoro,north,351 Hanover St,(617) 367-4348,italian,cheap,restaurant
110,Pomodoro,north,351 Hanover St,(617) 367-4348,italian,cheap,restaurant
140,La Famiglia Giorgio’s,north,112 Salem St,(617) 367-6711,italian,expensive,restaurant
17,Lolita Cocina & Tequila Fort Point,east,253 Summer St,(617) 369-0931,mexican,moderate,restaurant
124,Lolita Cocina & Tequila Bar Back Bay,centre,271 Dartmouth St,(617) 369-5609,mexican,moderate,restaurant
37,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
102,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
199,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,expensive,restaurant
1,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
70,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
135,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
169,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
98,Coppa Enoteca,south,253 Shawmut Ave,(617) 391-0902,italian,moderate,restaurant
145,Coppa Enoteca,south,253 Shawmut Ave,(617) 391-0902,italian,moderate,restaurant
189,KO Pies At the Shipyard,east,256 Marginal St,(617) 418-5234,australian,moderate,restaurant
130,Ostra,centre,1 Charles St S,(617) 421-1200,seafood,expensive,restaurant
172,Audubon Boston,centre,838 Beacon St,(617) 421-1910,north american,moderate,restaurant
176,Shun’s Kitchen,south,520 Columbus Ave,(617) 421-9588,japanese,cheap,restaurant
151,Marliave,centre,10 Bosworth St,(617) 422-0004,french,moderate,restaurant
115,Gaslight,south,560 Harrison Ave,(617) 422-0224,french,moderate,restaurant
14,Pete’s Dockside,south,12 Channel St,(617) 423-1110,north american,cheap,restaurant
11,James Hook & Co,east,15-17 Northern Ave,(617) 423-5501,seafood,moderate,restaurant
125,Shojo,centre,9A Tyler St,(617) 423-7888,panasian,moderate,restaurant
96,Shojo,centre,9A Tyler St,(617) 423-7888,panasian,expensive,restaurant
113,SOJUba,centre,1260 Boylston St,(617) 424-1260,korean,moderate,restaurant
138,The Gallows,south,1395 Washington St,(617) 425-0200,north american,moderate,restaurant
32,Barking Crab,east,88 Sleeper St,(617) 426-2722,seafood,moderate,restaurant
76,Temazcal Tequila Cantina,east,250 Northern Ave,(617) 439-3502,mexican,cheap,restaurant
296,Gran Gusto,centre,90 Sherman St,(617) 441-0400,italian,moderate,restaurant
282,Thelonious Monkfish,centre,Current wait time: 0 mins,(617) 441-2116,japanese,moderate,restaurant
208,Giulia,north,1682 Massachusetts Ave,(617) 441-2800,italian,expensive,restaurant
288,Mu Lan,centre,228 Broadway,(617) 441-8813,chinese,cheap,restaurant
87,MJ O’Connor’s,south,425 Summer St,(617) 443-0800,north american,cheap,restaurant
61,Trade,east,540 Atlantic Ave,(617) 451-1234,mediterranean,moderate,restaurant
109,Bootleg Special,south,400 Tremont St,(617) 451-1800,north american,moderate,restaurant
50,Bootleg Special,south,400 Tremont St,(617) 451-1800,north american,expensive,restaurant
40,Galley Diner,south,11 P St,(617) 464-1024,north american,moderate,restaurant
64,Rosa Mexicano,east,155 Seaport Blvd,(617) 476-6122,mexican,moderate,restaurant
26,Legal Harborside,east,270 Northern Ave,(617) 477-2900,seafood,expensive,restaurant
101,Holly Crab,west,1098 Commonwealth Ave,(617) 487-5957,indian,moderate,restaurant
136,Holly Crab,west,1098 Commonwealth Ave,(617) 487-5957,indian,moderate,restaurant
170,Holly Crab,west,1098 Commonwealth Ave,(617) 487-5957,indian,moderate,restaurant
239,The Similans,east,145 1st St,(617) 491-6999,thai,expensive,restaurant
222,Park Restaurant & Bar,north,59 Jfk St,(617) 491-9851,modern american,moderate,restaurant
241,Cafe Sushi,north,1105 Massachusetts Ave,(617) 492-0434,japanese,moderate,restaurant
246,Helmand Restaurant,east,143 1st St,(617) 492-4646,afghan,moderate,restaurant
292,Cambridge Brewing Company,centre,1 Kendall Sq,(617) 494-1994,north american,moderate,restaurant
277,Grafton Street,north,1230 Massachusetts Ave,(617) 497-0400,north american,cheap,restaurant
250,Craigie On Main,centre,853 Main St,(617) 497-5511,modern american,moderate,restaurant
204,Russell House Tavern,north,14 Jfk St,(617) 500-3055,modern american,moderate,restaurant
183,Al Dente Restaurant,north,109 Salem St,(617) 523-0990,italian,cheap,restaurant
186,Terramia Ristorante,north,98 Salem St,(617) 523-3112,italian,moderate,restaurant
75,The Daily Catch,north,323 Hanover St,(617) 523-8567,italian,moderate,restaurant
126,The Daily Catch,north,323 Hanover St,(617) 523-8567,italian,moderate,restaurant
27,Giacomo’s Ristorante,north,355 Hanover St,(617) 523-9026,italian,moderate,restaurant
106,Giacomo’s Ristorante,north,355 Hanover St,(617) 523-9026,italian,expensive,restaurant
95,Morton’s The Steakhouse,east,2 Seaport Ln,(617) 526-0410,steakhouse,moderate,restaurant
152,Bar Mezzana,south,360 Harrison Ave,(617) 530-1770,italian,expensive,restaurant
190,No Relation,south,Opened 3 months ago,(617) 530-1772,modern american,expensive,restaurant
83,Mastro’s Ocean Club,south,25 Fan Pier Blvd,(617) 530-1925,steakhouse,moderate,restaurant
19,Chickadee,south,21 Drydock Ave,(617) 531-5591,modern american,cheap,restaurant
116,Island Creek Oyster Bar,centre,500 Commonwealth Ave,(617) 532-5300,seafood,cheap,restaurant
179,Regina Pizzeria,north,11 1/2 Thacher St,(617) 535-9299,italian,moderate,restaurant
132,Piattini,centre,226 Newbury St,(617) 536-2020,italian,moderate,restaurant
177,Coda,centre,329 Columbus Ave,(617) 536-2632,modern american,moderate,restaurant
48,Toro,south,1704 Washington St,(617) 536-4300,spanish,cheap,restaurant
120,Toro,south,1704 Washington St,(617) 536-4300,spanish,expensive,restaurant
123,Giacomo’s,centre,431 Columbus Ave,(617) 536-5723,italian,cheap,restaurant
99,The Salty Pig,centre,130 Dartmouth St,(617) 536-6200,modern american,cheap,restaurant
105,The Salty Pig,centre,130 Dartmouth St,(617) 536-6200,modern american,moderate,restaurant
166,Abe & Louie’s,centre,793 Boylston St,(617) 536-6300,steakhouse,moderate,restaurant
141,SRV Boston,centre,569 Columbus Ave,(617) 536-9500,italian,moderate,restaurant
66,Myers & Chang,south,1145 Washington St,(617) 542-5200,panasian,moderate,restaurant
119,Myers & Chang,south,1145 Washington St,(617) 542-5200,panasian,moderate,restaurant
223,Cambridge Common,north,1667 Massachusetts Ave,(617) 547-1228,north american,moderate,restaurant
36,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
69,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
201,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
236,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
270,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
280,The Maharaja,north,57 JFK St,(617) 547-2757,indian,moderate,restaurant
265,Cafe Mami,north,1815 Massachusetts Ave,(617) 547-9130,japanese,moderate,restaurant
257,House of Chang,centre,282 Concord Ave,(617) 547-9888,chinese,moderate,restaurant
111,Row 34,east,383 Congress St,(617) 553-5900,modern american,moderate,restaurant
4,Row 34,east,383 Congress St,(617) 553-5900,modern american,expensive,restaurant
156,Panza,north,326 Hanover St,(617) 557-9248,italian,moderate,restaurant
192,Rino’s Place,east,258 Saratoga St,(617) 567-7412,italian,moderate,restaurant
283,The Plough & Stars,centre,912 Massachusetts Ave,(617) 576-0032,bistro,cheap,restaurant
256,Viale,centre,502 Massachusetts Ave,(617) 576-1900,italian,cheap,restaurant
264,Forage,centre,5 Craigie Cir,(617) 576-5444,gastropub,expensive,restaurant
258,Basta Pasta Trattoria,centre,319 Western Ave,(617) 576-6672,italian,moderate,restaurant
266,Koreana,centre,158 Prospect St,(617) 576-8661,korean,cheap,restaurant
229,The Smoke Shop BBQ - Kendall Square,centre,Large Party Booking,(617) 577-7427,modern american,moderate,restaurant
215,Shabu & Mein,east,148 1st St,(617) 577-7888,chinese,moderate,restaurant
154,Tony & Elaine’s,north,Opened 2 months ago,(617) 580-0321,modern american,expensive,restaurant
3,Pon Thai Bistro,west,213 Washington St,(617) 608-3593,thai,moderate,restaurant
103,Pon Thai Bistro,west,213 Washington St,(617) 608-3593,thai,moderate,restaurant
285,Celeste,centre,21 Bow St,(617) 616-5319,latin american,expensive,restaurant
22,Publico Street Bistro & Garden,south,11 Dorchester St,(617) 622-5700,modern american,moderate,restaurant
273,Posto,north,187 Elm St,(617) 625-0600,italian,expensive,restaurant
287,Rosebud American Kitchen and Bar,north,381 Summer St,(617) 629-9500,barbeque,expensive,restaurant
129,O Ya,centre,9 East St Pl,(617) 654-9900,japanese,moderate,restaurant
18,O Ya,centre,9 East St Pl,(617) 654-9900,japanese,expensive,restaurant
205,Oleana Restaurant,north,134 Hampshire St,(617) 661-0505,mediterranean,expensive,restaurant
290,Dali Restaurant & Tapas Bar,centre,415 Washington St,(617) 661-3254,spanish,cheap,restaurant
214,East Side Bar & Grille,east,561 Cambridge St,(617) 661-3278,italian,moderate,restaurant
262,Benedetto,north,1 Bennett St,(617) 661-5050,italian,moderate,restaurant
284,Greek Corner Restaurant,north,2366 Massachusetts Ave,(617) 661-5655,greek,moderate,restaurant
243,Dumpling House,centre,Current wait time: 0 mins,(617) 661-8066,chinese,cheap,restaurant
29,Ocean Prime,east,140 Seaport Blvd,(617) 670-1345,seafood,expensive,restaurant
41,Drink,east,348 Congress St,(617) 695-1806,bistro,moderate,restaurant
78,Troquet on South,centre,107 S St,(617) 695-9463,french,moderate,restaurant
268,The Rising,north,1172 Cambridge St,(617) 714-4130,gastropub,moderate,restaurant
263,Sakana,centre,983 Massachusetts Ave,(617) 714-4646,japanese,expensive,restaurant
278,Highland Fried,north,1271 Cambridge St,(617) 714-4662,gastropub,moderate,restaurant
227,The Abbey,north,1755 Massachusetts Ave,(617) 714-4944,modern american,moderate,restaurant
281,Sulmona,centre,Large Party Booking,(617) 714-4995,italian,moderate,restaurant
274,Saloniki Greek,centre,181 Massachusetts Ave,(617) 714-5152,greek,moderate,restaurant
253,The Automatic Food & Drink,centre,50 Hampshire St,(617) 714-5226,north american,expensive,restaurant
225,Talulla,south,377 Walden St,(617) 714-5584,modern american,cheap,restaurant
298,DAKZEN,north,195 Elm St,(617) 718-1759,thai,expensive,restaurant
167,Trattoria Il Panino,north,11 Parmenter St,(617) 720-1336,italian,cheap,restaurant
88,Nebo Cucina & Enoteca,east,520 Atlantic Ave,(617) 723-6326,italian,moderate,restaurant
144,Ma Maison,centre,272 Cambridge St,(617) 725-8855,french,cheap,restaurant
73,Menton,east,354 Congress St,(617) 737-0099,french,moderate,restaurant
196,Menton,east,354 Congress St,(617) 737-0099,french,moderate,restaurant
28,Sportello,east,348 Congress St,(617) 737-1234,italian,expensive,restaurant
9,Committee,east,50 Northern Ave,(617) 737-5051,mediterranean,moderate,restaurant
148,Committee,east,50 Northern Ave,(617) 737-5051,mediterranean,moderate,restaurant
6,Carmelina’s,north,307 Hanover St,(617) 742-0020,italian,moderate,restaurant
104,Carmelina’s,north,307 Hanover St,(617) 742-0020,italian,moderate,restaurant
244,Carmelina’s,north,307 Hanover St,(617) 742-0020,italian,moderate,restaurant
150,Figs by Todd English,centre,42 Charles St,(617) 742-3447,italian,cheap,restaurant
107,Neptune Oyster,north,63 Salem St,(617) 742-3474,seafood,moderate,restaurant
16,Neptune Oyster,north,63 Salem St,(617) 742-3474,seafood,expensive,restaurant
164,Locale,north,352 Hanover St,(617) 742-9600,italian,expensive,restaurant
15,Moonshine 152,south,152 Dorchester Ave,(617) 752-4191,modern american,moderate,restaurant
165,Moonshine 152,south,152 Dorchester Ave,(617) 752-4191,modern american,expensive,restaurant
33,Worden Hall,south,22 W Broadway,(617) 752-4206,modern american,moderate,restaurant
234,Area Four,centre,500 Technology Sq,(617) 758-4444,italian,moderate,restaurant
233,Sarma,centre,249 Pearl St,(617) 764-4464,middle eastern,expensive,restaurant
218,The Hourly Oyster House,north,15 Dunster St,(617) 765-2342,seafood,moderate,restaurant
97,Tatte Bakery & Cafe,east,200 Pier Four Blvd,(617) 765-7600,modern american,expensive,restaurant
12,Lincoln Tavern and Restaurant,south,425 W Broadway,(617) 765-8636,modern american,moderate,restaurant
195,Lincoln Tavern and Restaurant,south,425 W Broadway,(617) 765-8636,modern american,moderate,restaurant
72,Fat Baby,south,118 Dorchester St,(617) 766-3450,modern american,expensive,restaurant
8,Fox And The Knife,south,28 W Broadway,(617) 766-8630,modern american,cheap,restaurant
161,Fox And The Knife,south,Opened 7 weeks ago,(617) 766-8630,modern american,moderate,restaurant
7,bartaco Seaport,east,25 Thomson Pl,(617) 819-8226,mexican,moderate,restaurant
147,bartaco Seaport,east,25 Thomson Pl,(617) 819-8226,mexican,moderate,restaurant
55,Luke’s Lobster Seaport,east,53 Northern Ave,(617) 848-0911,seafood,cheap,restaurant
254,State Park,centre,Large Party Booking,(617) 848-4355,modern american,cheap,restaurant
261,The Longfellow Bar,north,Opened 2 months ago,(617) 864-0001,modern american,expensive,restaurant
217,Alden & Harlow,north,40 Brattle St,(617) 864-2100,north american,expensive,restaurant
248,Waypoint,centre,1030 Mass Ave,(617) 864-2300,north american,moderate,restaurant
259,Atwood’s Tavern,centre,877 Cambridge St,(617) 864-2792,north american,moderate,restaurant
213,Cuchi Cuchi,centre,795 Main St,(617) 864-2929,spanish,expensive,restaurant
249,Border Café,north,32 Church St,(617) 864-6100,mexican,cheap,restaurant
237,One Ramen & Sushi,north,1759 Massachusetts Ave,(617) 864-6299,japanese,moderate,restaurant
171,One Ramen & Sushi,north,1759 Massachusetts Ave,(617) 864-6299,japanese,moderate,restaurant
181,Mistral,centre,223 Columbus Ave,(617) 867-9300,french,cheap,restaurant
212,Baraka,north,1728 Massachusetts Ave,(617) 868-3951,mediterranean,moderate,restaurant
221,Tampopo,north,1815 Massachusetts Ave,(617) 868-5457,japanese,cheap,restaurant
293,Shanghai Fresh,centre,735 Massachusetts Ave,(617) 868-8877,chinese,moderate,restaurant
267,Desfina Restaurant,east,202 3rd St,(617) 868-9098,greek,moderate,restaurant
226,The Table at Season to Taste,north,2447 Massachusetts Ave,(617) 871-9468,modern american,expensive,restaurant
231,Alive & Kicking Lobsters,centre,269 Putnam Ave,(617) 876-0451,seafood,moderate,restaurant
230,Green Street,centre,280 Green St,(617) 876-1655,north american,moderate,restaurant
260,The Cellar Food & Drink,centre,991 Massachusetts Ave,(617) 876-2580,modern american,moderate,restaurant
238,Sapporo Ramen,north,1815 Massachusetts Ave,(617) 876-4805,japanese,moderate,restaurant
24,City Tap House,east,10 Boston Wharf Rd,(617) 904-2748,north american,moderate,restaurant
133,Moon Bar,centre,304 Stuart St,(617) 917-5193,north american,cheap,restaurant
10,Loco Taqueria and Oyster Bar,south,412 W Broadway,(617) 917-5626,north american,moderate,restaurant
162,Loco Taqueria and Oyster Bar,south,412 W Broadway,(617) 917-5626,north american,expensive,restaurant
197,Picco Pizza & Ice Cream,south,513 Tremont St,(617) 927-0066,italian,moderate,restaurant
51,wagamama - seaport,east,100 Northern Ave,(617) 933-9304,panasian,moderate,restaurant
53,Fuji at Ink Block,south,352 Harrison Ave,(617) 936-3282,japanese,cheap,restaurant
118,Fuji at Ink Block,south,352 Harrison Ave,(617) 936-3282,japanese,expensive,restaurant
178,MIDA,south,782 Tremont St,(617) 936-3490,italian,expensive,restaurant
74,Tikkaway Fresh Indian Grill,east,55 Boston Wharf Rd,(617) 936-3933,indian,moderate,restaurant
279,Sumiao Hunan Kitchen,east,270 Third St,(617) 945-0907,chinese,moderate,restaurant
207,Little Donkey,centre,505 Massachusetts Ave,(617) 945-1008,spanish,moderate,restaurant
289,Pita Cambridge,north,12 Springfield St,(617) 945-1214,modern american,moderate,restaurant
206,Santouka Harvard Square,north,1 Bow St,(617) 945-1460,japanese,moderate,restaurant
216,Pammy’s,centre,928 Massachusetts Ave,(617) 945-1761,italian,expensive,restaurant
297,Silk Road Uyghur Cuisine,east,645 Cambridge St,(617) 945-1909,chinese,expensive,restaurant
245,Loyal Nine,centre,660 Cambridge St,(617) 945-2576,north american,moderate,restaurant
203,Poke City,north,1722 Massachusetts Ave,(617) 945-2916,japanese,moderate,restaurant
251,Chick Chick Boom,centre,80 River St,(617) 945-2977,modern american,expensive,restaurant
255,Saloniki Greek,north,24 Dunster St,(617) 945-5877,greek,moderate,restaurant
275,Momi Nonmi,north,1128 Cambridge St,(617) 945-7328,japanese,moderate,restaurant
220,Moona,north,243 Hampshire St,(617) 945-7448,mediterranean,moderate,restaurant
299,Pagu,centre,310 Massachusetts Ave,(617) 945-9290,japanese,moderate,restaurant
30,Bostonia Public House,east,131 State St,(617) 948-9800,modern american,moderate,restaurant
117,Bostonia Public House,east,131 State St,(617) 948-9800,modern american,moderate,restaurant
46,Del Frisco’s Double Eagle Steakhouse,east,250 Northern Ave,(617) 951-1368,seafood,moderate,restaurant
47,Drydock Cafe,south,7 Drydock Ave,(617) 951-2999,seafood,moderate,restaurant
23,アマテラス ラーメン,centre,112 South St,(617) 956-4068,japanese,moderate,restaurant
77,Gather,east,75 Northern Ave,(617) 982-7220,modern american,moderate,restaurant
2,Hot Eastern,centre,42 Beach St,(617) 988-0660,chinese,moderate,restaurant
149,Hot Eastern,centre,Current wait time: 0 mins,(617) 988-0660,chinese,moderate,restaurant
57,Capo Restaurant,south,443 West Broadway,(617) 993-8080,north american,moderate,restaurant
35,La Esquina Del Sabor,centre,1 Unity Ave,(781) 286-0033,latin american,moderate,restaurant
71,La Esquina Del Sabor,centre,1 Unity Ave,(781) 286-0033,latin american,moderate,restaurant
137,Black & Blue Steak and Crab,centre,400 District Ave,(781) 365-1626,steakhouse,moderate,restaurant
128,Citrus & Salt,centre,142 Berkeley St,(833) 324-8787,north american,expensive,restaurant
159,Chongqing Liuyishou,centre,Opened 3 months ago,(857) 233-2971,chinese,moderate,restaurant
193,Boston Burger - Boston,centre,Current wait time: 0 mins,(857) 233-4560,north american,cheap,restaurant
90,Hopsters Brewing Company,east,51 Sleeper St,(857) 239-9042,modern american,moderate,restaurant
188,Cornish Pasty,centre,51 Massachusetts Ave,(857) 250-4497,british,expensive,restaurant
294,Wit’s End,north,1248 Cambridge St,(857) 259-6168,north american,moderate,restaurant
295,Tahaza Hummus Kitchen,east,1 Canal Park,(857) 259-6960,mediterranean,expensive,restaurant
180,Democracy Brewing,centre,35 Temple Pl,(857) 263-8604,north american,expensive,restaurant
153,Q Restaurant,centre,660 Washington St,(857) 264-5043,chinese,moderate,restaurant
173,Anoush’ella,south,35 W Newton St,(857) 265-3195,lebanese,moderate,restaurant
252,Lone Star Taco Bar,east,635 Cambridge St,(857) 285-6179,mexican,moderate,restaurant
224,Happy Lamb Hot Pot,centre,485 Massachusetts Ave,(857) 285-6933,chinese,moderate,restaurant
272,Night Market,north,75 Winthrop St,(857) 285-6948,panasian,moderate,restaurant
60,Oath Pizza - South Station,east,700 Atlantic Ave,(857) 305-6222,italian,expensive,restaurant
131,Santouka Back Bay,centre,66 Hereford St,(857) 310-5194,japanese,expensive,restaurant
142,The Tip Tap Room,centre,138 Cambridge St,(857) 350-3344,modern american,moderate,restaurant
146,Rigoletto Ristorante,north,115 Salem St,(857) 350-3402,italian,moderate,restaurant
89,Luke’s Lobster Back Bay,centre,75 Exeter Street,(857) 350-4626,seafood,cheap,restaurant
112,Luke’s Lobster Back Bay,centre,75 Exeter Street,(857) 350-4626,seafood,moderate,restaurant
44,J Pace & Son - Waterfront,east,225 Northern Ave,(857) 366-4640,north american,moderate,restaurant
13,The Social Register,south,401 D St,(857) 496-4104,spanish,moderate,restaurant
143,Earls Kitchen + Bar,centre,,(857) 957-0949,modern american,moderate,restaurant
184,Koy,centre,16 North St,(857) 991-1483,korean,moderate,restaurant
242,5 spices house cambridge,centre,546 Massachusetts Ave,Central Square,modern american,moderate,restaurant
209,Yume Ga Arukara,centre,1815 Massachusetts Ave,Porter Square,japanese,moderate,restaurant
240,Yume Wo Katare,centre,1923 Massachusetts Ave,Porter Square,japanese,moderate,restaurant
34,Q Restaurant,centre,660 Washington St,unknown,chinese,moderate,restaurant
168,La Esquina Del Sabor,centre,1 Unity Ave,unknown,latin american,moderate,restaurant
121,Futago Udon,centre,Opened 5 weeks ago,unknown,japanese,cheap,restaurant
134,Hot Eastern,centre,42 Beach St,unknown,chinese,moderate,restaurant
194,Noodles King,centre,400 Brookline Ave,unknown,chinese,moderate,restaurant